基金代码,基金名称,日期,单位净值,累计净值
SCQ830,兴聚投资可换股债券1号,2018-09-03,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-04,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-05,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-06,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-07,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-10,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-11,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-12,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-13,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-14,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-17,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-18,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-19,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-20,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-21,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-25,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-26,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-27,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-09-28,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-08,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-09,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-10,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-11,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-12,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-15,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-16,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-17,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-18,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-19,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-22,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-23,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-24,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-25,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-26,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-29,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-30,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-10-31,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-01,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-02,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-05,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-06,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-07,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-08,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-09,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-12,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-13,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-14,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-15,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-16,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-19,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-20,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-21,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-22,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-23,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-26,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-27,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-28,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-29,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-11-30,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-03,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-04,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-05,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-06,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-07,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-10,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-11,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-12,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-13,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-14,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-17,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-18,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-19,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-20,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-21,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-24,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-25,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-26,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-27,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2018-12-28,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-01-02,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-01-03,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-01-04,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-07,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-08,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-09,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-10,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-11,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-14,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-15,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-16,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-17,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-18,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-21,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-22,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-23,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-24,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-25,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-28,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-29,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-30,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-01-31,1.0,1.0
SCQ830,兴聚投资可换股债券1号,2019-02-01,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-02-11,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-02-12,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-02-13,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-02-14,1.001,1.001
SCQ830,兴聚投资可换股债券1号,2019-02-15,1.002,1.002
SCQ830,兴聚投资可换股债券1号,2019-02-18,1.002,1.002
SCQ830,兴聚投资可换股债券1号,2019-02-19,1.002,1.002
SCQ830,兴聚投资可换股债券1号,2019-02-20,1.002,1.002
SCQ830,兴聚投资可换股债券1号,2019-02-21,1.002,1.002
SCQ830,兴聚投资可换股债券1号,2019-02-22,1.014,1.014
SCQ830,兴聚投资可换股债券1号,2019-02-25,1.014,1.014
SCQ830,兴聚投资可换股债券1号,2019-02-26,1.014,1.014
SCQ830,兴聚投资可换股债券1号,2019-02-27,1.014,1.014
SCQ830,兴聚投资可换股债券1号,2019-02-28,1.023,1.023
SCQ830,兴聚投资可换股债券1号,2019-03-01,1.027,1.027
SCQ830,兴聚投资可换股债券1号,2019-03-04,1.027,1.027
SCQ830,兴聚投资可换股债券1号,2019-03-05,1.027,1.027
SCQ830,兴聚投资可换股债券1号,2019-03-06,1.027,1.027
SCQ830,兴聚投资可换股债券1号,2019-03-07,1.027,1.027
SCQ830,兴聚投资可换股债券1号,2019-03-08,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-03-11,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-03-12,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-03-13,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-03-14,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-03-15,1.077,1.077
SCQ830,兴聚投资可换股债券1号,2019-03-18,1.077,1.077
SCQ830,兴聚投资可换股债券1号,2019-03-19,1.077,1.077
SCQ830,兴聚投资可换股债券1号,2019-03-20,1.077,1.077
SCQ830,兴聚投资可换股债券1号,2019-03-21,1.077,1.077
SCQ830,兴聚投资可换股债券1号,2019-03-22,1.119,1.119
SCQ830,兴聚投资可换股债券1号,2019-03-25,1.119,1.119
SCQ830,兴聚投资可换股债券1号,2019-03-26,1.119,1.119
SCQ830,兴聚投资可换股债券1号,2019-03-27,1.119,1.119
SCQ830,兴聚投资可换股债券1号,2019-03-28,1.119,1.119
SCQ830,兴聚投资可换股债券1号,2019-03-29,1.11,1.11
SCQ830,兴聚投资可换股债券1号,2019-04-01,1.11,1.11
SCQ830,兴聚投资可换股债券1号,2019-04-02,1.11,1.11
SCQ830,兴聚投资可换股债券1号,2019-04-03,1.11,1.11
SCQ830,兴聚投资可换股债券1号,2019-04-04,1.15,1.15
SCQ830,兴聚投资可换股债券1号,2019-04-08,1.15,1.15
SCQ830,兴聚投资可换股债券1号,2019-04-09,1.15,1.15
SCQ830,兴聚投资可换股债券1号,2019-04-10,1.15,1.15
SCQ830,兴聚投资可换股债券1号,2019-04-11,1.15,1.15
SCQ830,兴聚投资可换股债券1号,2019-04-12,1.128,1.128
SCQ830,兴聚投资可换股债券1号,2019-04-15,1.128,1.128
SCQ830,兴聚投资可换股债券1号,2019-04-16,1.128,1.128
SCQ830,兴聚投资可换股债券1号,2019-04-17,1.128,1.128
SCQ830,兴聚投资可换股债券1号,2019-04-18,1.128,1.128
SCQ830,兴聚投资可换股债券1号,2019-04-19,1.135,1.135
SCQ830,兴聚投资可换股债券1号,2019-04-22,1.135,1.135
SCQ830,兴聚投资可换股债券1号,2019-04-23,1.135,1.135
SCQ830,兴聚投资可换股债券1号,2019-04-24,1.135,1.135
SCQ830,兴聚投资可换股债券1号,2019-04-25,1.135,1.135
SCQ830,兴聚投资可换股债券1号,2019-04-26,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-04-29,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-04-30,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-05-06,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-05-07,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-05-08,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-05-09,1.093,1.093
SCQ830,兴聚投资可换股债券1号,2019-05-10,1.099,1.099
SCQ830,兴聚投资可换股债券1号,2019-05-13,1.099,1.099
SCQ830,兴聚投资可换股债券1号,2019-05-14,1.099,1.099
SCQ830,兴聚投资可换股债券1号,2019-05-15,1.099,1.099
SCQ830,兴聚投资可换股债券1号,2019-05-16,1.099,1.099
SCQ830,兴聚投资可换股债券1号,2019-05-17,1.092,1.092
SCQ830,兴聚投资可换股债券1号,2019-05-20,1.092,1.092
SCQ830,兴聚投资可换股债券1号,2019-05-21,1.092,1.092
SCQ830,兴聚投资可换股债券1号,2019-05-22,1.092,1.092
SCQ830,兴聚投资可换股债券1号,2019-05-23,1.092,1.092
SCQ830,兴聚投资可换股债券1号,2019-05-24,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-05-27,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-05-28,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-05-29,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-05-30,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-05-31,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-03,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-04,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-05,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-06,1.064,1.064
SCQ830,兴聚投资可换股债券1号,2019-06-10,1.064,1.064
SCQ830,兴聚投资可换股债券1号,2019-06-11,1.064,1.064
SCQ830,兴聚投资可换股债券1号,2019-06-12,1.064,1.064
SCQ830,兴聚投资可换股债券1号,2019-06-13,1.064,1.064
SCQ830,兴聚投资可换股债券1号,2019-06-14,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-06-17,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-06-18,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-06-19,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-06-20,1.068,1.068
SCQ830,兴聚投资可换股债券1号,2019-06-21,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-24,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-25,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-26,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-27,1.076,1.076
SCQ830,兴聚投资可换股债券1号,2019-06-28,1.079,1.079
SCQ830,兴聚投资可换股债券1号,2019-07-01,1.079,1.079
SCQ830,兴聚投资可换股债券1号,2019-07-02,1.079,1.079
SCQ830,兴聚投资可换股债券1号,2019-07-03,1.079,1.079
SCQ830,兴聚投资可换股债券1号,2019-07-04,1.079,1.079
SCQ830,兴聚投资可换股债券1号,2019-07-05,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-07-08,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-07-09,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-07-10,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-07-11,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-07-12,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-15,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-16,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-17,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-18,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-19,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-22,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-23,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-24,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-25,1.081,1.081
SCQ830,兴聚投资可换股债券1号,2019-07-26,1.084,1.084
SCQ830,兴聚投资可换股债券1号,2019-07-29,1.084,1.084
SCQ830,兴聚投资可换股债券1号,2019-07-30,1.084,1.084
SCQ830,兴聚投资可换股债券1号,2019-07-31,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-08-01,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-08-02,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-08-05,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-08-06,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-08-07,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-08-08,1.083,1.083
SCQ830,兴聚投资可换股债券1号,2019-08-09,1.074,1.074
SCQ830,兴聚投资可换股债券1号,2019-08-12,1.074,1.074
SCQ830,兴聚投资可换股债券1号,2019-08-13,1.074,1.074
SCQ830,兴聚投资可换股债券1号,2019-08-14,1.074,1.074
SCQ830,兴聚投资可换股债券1号,2019-08-15,1.074,1.074
SCQ830,兴聚投资可换股债券1号,2019-08-16,1.078,1.078
SCQ830,兴聚投资可换股债券1号,2019-08-19,1.078,1.078
SCQ830,兴聚投资可换股债券1号,2019-08-20,1.078,1.078
SCQ830,兴聚投资可换股债券1号,2019-08-21,1.078,1.078
SCQ830,兴聚投资可换股债券1号,2019-08-22,1.078,1.078
SCQ830,兴聚投资可换股债券1号,2019-08-23,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-08-26,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-08-27,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-08-28,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-08-29,1.086,1.086
SCQ830,兴聚投资可换股债券1号,2019-08-30,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-09-02,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-09-03,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-09-04,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-09-05,1.088,1.088
SCQ830,兴聚投资可换股债券1号,2019-09-06,1.108,1.108
SCQ830,兴聚投资可换股债券1号,2019-09-09,1.108,1.108
SCQ830,兴聚投资可换股债券1号,2019-09-10,1.108,1.108
SCQ830,兴聚投资可换股债券1号,2019-09-11,1.108,1.108
SCQ830,兴聚投资可换股债券1号,2019-09-12,1.118,1.118
SCQ830,兴聚投资可换股债券1号,2019-09-16,1.118,1.118
SCQ830,兴聚投资可换股债券1号,2019-09-17,1.118,1.118
SCQ830,兴聚投资可换股债券1号,2019-09-18,1.118,1.118
SCQ830,兴聚投资可换股债券1号,2019-09-19,1.118,1.118
SCQ830,兴聚投资可换股债券1号,2019-09-20,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-09-23,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-09-24,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-09-25,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-09-26,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-09-27,1.096,1.096
SCQ830,兴聚投资可换股债券1号,2019-09-30,1.094,1.094
SCQ830,兴聚投资可换股债券1号,2019-10-11,1.107,1.107
SCQ830,兴聚投资可换股债券1号,2019-10-18,1.111,1.111
SCQ830,兴聚投资可换股债券1号,2019-10-25,1.105,1.105
SCQ830,兴聚投资可换股债券1号,2019-10-31,1.121,1.121
SCQ830,兴聚投资可换股债券1号,2019-11-01,1.138,1.138
SCQ830,兴聚投资可换股债券1号,2019-11-08,1.18,1.18
SCQ830,兴聚投资可换股债券1号,2019-11-15,1.146,1.146
SCQ830,兴聚投资可换股债券1号,2019-11-22,1.145,1.145
SCQ830,兴聚投资可换股债券1号,2019-11-29,1.147,1.147
SCQ830,兴聚投资可换股债券1号,2019-12-06,1.178,1.178
SCQ830,兴聚投资可换股债券1号,2019-12-13,1.225,1.225
SCQ830,兴聚投资可换股债券1号,2019-12-20,1.245,1.245
SCQ830,兴聚投资可换股债券1号,2019-12-27,1.273,1.273
SCQ830,兴聚投资可换股债券1号,2019-12-31,1.291,1.291
SCQ830,兴聚投资可换股债券1号,2020-01-03,1.316,1.316
SCQ830,兴聚投资可换股债券1号,2020-01-10,1.341,1.341
SCQ830,兴聚投资可换股债券1号,2020-01-17,1.367,1.367
SCQ830,兴聚投资可换股债券1号,2020-02-03,1.331,1.331
SCQ830,兴聚投资可换股债券1号,2020-02-07,1.409,1.409
SCQ830,兴聚投资可换股债券1号,2020-02-14,1.448,1.448
SCQ830,兴聚投资可换股债券1号,2020-02-21,1.506,1.506
SCQ830,兴聚投资可换股债券1号,2020-02-28,1.479,1.479
SCQ830,兴聚投资可换股债券1号,2020-03-06,1.501,1.501
SCQ830,兴聚投资可换股债券1号,2020-03-10,1.47,1.47
SCQ830,兴聚投资可换股债券1号,2020-03-13,1.454,1.454
SCQ830,兴聚投资可换股债券1号,2020-03-20,1.439,1.439
SCQ830,兴聚投资可换股债券1号,2020-03-27,1.454,1.454
SCQ830,兴聚投资可换股债券1号,2020-03-31,1.456,1.456
SCQ830,兴聚投资可换股债券1号,2020-04-03,1.444,1.444
SCQ830,兴聚投资可换股债券1号,2020-04-10,1.463,1.463
SCQ830,兴聚投资可换股债券1号,2020-04-17,1.473,1.473
SCQ830,兴聚投资可换股债券1号,2020-04-24,1.478,1.478
SCQ830,兴聚投资可换股债券1号,2020-04-30,1.498,1.498
SCQ830,兴聚投资可换股债券1号,2020-05-08,1.533,1.533
SCQ830,兴聚投资可换股债券1号,2020-05-13,1.526,1.526
SCQ830,兴聚投资可换股债券1号,2020-05-14,1.514,1.514
SCQ830,兴聚投资可换股债券1号,2020-05-15,1.514,1.514
SCQ830,兴聚投资可换股债券1号,2020-05-22,1.488,1.488
SCQ830,兴聚投资可换股债券1号,2020-05-29,1.507,1.507
SCQ830,兴聚投资可换股债券1号,2020-06-05,1.532,1.532
SCQ830,兴聚投资可换股债券1号,2020-06-12,1.527,1.527
SCQ830,兴聚投资可换股债券1号,2020-06-19,1.561,1.561
SCQ830,兴聚投资可换股债券1号,2020-06-24,1.562,1.562
SCQ830,兴聚投资可换股债券1号,2020-06-30,1.585,1.585
SCQ830,兴聚投资可换股债券1号,2020-07-03,1.653,1.653
SCQ830,兴聚投资可换股债券1号,2020-07-10,1.799,1.799
SCQ830,兴聚投资可换股债券1号,2020-07-17,1.701,1.701
SCQ830,兴聚投资可换股债券1号,2020-07-24,1.753,1.753
SCQ830,兴聚投资可换股债券1号,2020-07-31,1.836,1.836
SCQ830,兴聚投资可换股债券1号,2020-08-07,1.882,1.882
SCQ830,兴聚投资可换股债券1号,2020-08-14,1.831,1.831
SCQ830,兴聚投资可换股债券1号,2020-08-21,1.838,1.838
SCQ830,兴聚投资可换股债券1号,2020-08-28,1.856,1.856
SCQ830,兴聚投资可换股债券1号,2020-08-31,1.85,1.85
SCQ830,兴聚投资可换股债券1号,2020-09-04,1.863,1.863
SCQ830,兴聚投资可换股债券1号,2020-09-11,1.808,1.808
SCQ830,兴聚投资可换股债券1号,2020-09-18,1.834,1.834
SCQ830,兴聚投资可换股债券1号,2020-09-25,1.775,1.775
SCQ830,兴聚投资可换股债券1号,2020-09-30,1.783,1.783
SCQ830,兴聚投资可换股债券1号,2020-10-09,1.813,1.813
SCQ830,兴聚投资可换股债券1号,2020-10-16,1.813,1.813
SCQ830,兴聚投资可换股债券1号,2020-10-23,1.816,1.816
SCQ830,兴聚投资可换股债券1号,2020-10-30,1.786,1.786
SCQ830,兴聚投资可换股债券1号,2020-11-06,1.887,1.887
SCQ830,兴聚投资可换股债券1号,2020-11-13,1.911,1.911
SCQ830,兴聚投资可换股债券1号,2020-11-20,1.959,1.959
SCQ830,兴聚投资可换股债券1号,2020-11-27,1.963,1.963
SCQ830,兴聚投资可换股债券1号,2020-11-30,1.947,1.947
SCQ830,兴聚投资可换股债券1号,2020-12-04,1.925,1.925
SCQ830,兴聚投资可换股债券1号,2020-12-11,1.874,1.874
SCQ830,兴聚投资可换股债券1号,2020-12-18,1.942,1.942
SCQ830,兴聚投资可换股债券1号,2020-12-25,2.017,2.017
SCQ830,兴聚投资可换股债券1号,2020-12-31,2.071,2.071
SCQ830,兴聚投资可换股债券1号,2021-01-07,2.116,2.116
SCQ830,兴聚投资可换股债券1号,2021-01-08,2.096,2.096
SCQ830,兴聚投资可换股债券1号,2021-01-11,2.091,2.091
SCQ830,兴聚投资可换股债券1号,2021-01-15,2.142,2.142
SCQ830,兴聚投资可换股债券1号,2021-01-22,2.206,2.206
SCQ830,兴聚投资可换股债券1号,2021-01-29,2.12,2.12
SCQ830,兴聚投资可换股债券1号,2021-02-05,2.139,2.139
SCQ830,兴聚投资可换股债券1号,2021-02-10,2.25,2.25
SCQ830,兴聚投资可换股债券1号,2021-02-19,2.353,2.353
SCQ830,兴聚投资可换股债券1号,2021-02-26,2.253,2.253
SCQ830,兴聚投资可换股债券1号,2021-03-05,2.301,2.301
SCQ830,兴聚投资可换股债券1号,2021-03-11,2.304,2.304
SCQ830,兴聚投资可换股债券1号,2021-03-12,2.297,2.297
SCQ830,兴聚投资可换股债券1号,2021-03-17,2.319,2.319
SCQ830,兴聚投资可换股债券1号,2021-03-19,2.324,2.324
SCQ830,兴聚投资可换股债券1号,2021-03-26,2.303,2.303
SCQ830,兴聚投资可换股债券1号,2021-03-31,2.305,2.305
SCQ830,兴聚投资可换股债券1号,2021-04-02,2.312,2.312
SCQ830,兴聚投资可换股债券1号,2021-04-07,2.303,2.303
SCQ830,兴聚投资可换股债券1号,2021-04-09,2.305,2.305
